original_id,original_acronym,original_name,target_id,target_acronym
549009219,Acs5,Accessory trigeminal nucleus,1065,HB
549009223,PC5,Parvicellular motor 5 nucleus,1065,HB
549009227,I5,Intertrigeminal nucleus,1065,HB
560581551,Eth,Ethmoid nucleus of the thalamus,1129,IB
560581555,REth,Retroethmoid nucleus,1129,IB
560581559,Xi,Xiphoid thalamic nucleus,1129,IB
560581563,PIL,Posterior intralaminar thalamic nucleus,1129,IB
563807435,PoT,Posterior triangular thalamic nucleus,1129,IB
563807439,IntG,Intermediate geniculate nucleus,1129,IB
576073699,VMPO,Ventromedial preoptic nucleus,1129,IB
576073704,PeF,Perifornical nucleus,1129,IB
589508447,HATA,Hippocampo-amygdalar transition area,822,RHP
589508451,Pa5,Paratrigeminal nucleus,1065,HB
589508455,VeCB,Vestibulocerebellar nucleus,519,CBN
599626923,SCO,Subcommissural organ,313,MB
599626927,PDTg,Posterodorsal tegmental nucleus,1065,HB
606826647,Mml,Medial mammillary nucleus lateral part,1129,IB
606826651,Mmm,Medial mammillary nucleus medial part,1129,IB
606826655,Mmp,Medial mammillary nucleus posterior part,1129,IB
606826659,Mmd,Medial mammillary nucleus dorsal part,1129,IB
606826663,Pa4,Paratrochlear nucleus,313,MB
607344830,PN,Paranigral nucleus,313,MB
607344834,IPR,Interpeduncular nucleus rostral,313,MB
607344838,IPC,Interpeduncular nucleus caudal,313,MB
607344842,IPA,Interpeduncular nucleus apical,313,MB
607344846,IPL,Interpeduncular nucleus lateral,313,MB
607344850,IPI,Interpeduncular nucleus intermediate,313,MB
607344854,IPDM,Interpeduncular nucleus dorsomedial,313,MB
607344858,IPDL,Interpeduncular nucleus dorsolateral,313,MB
607344862,IPRL,Interpeduncular nucleus rostrolateral,313,MB
614454277,Su3,Supraoculomotor periaqueductal gray,313,MB
